w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-6.306471296326530973e-02,-7.172620081632655707e-03,2.332079283877551423e-02,-1.999707007346938348e-01,7.622752867346938022e-02,-9.859501530612245546e+00,2.317198488888889130e-01,-7.723616777777776721e-02,3.894809644444444663e-01,3.951985214285713965e+01,2.523428571428571487e+01,9.824844999999999828e-01,-1.281406700000000017e-02,-1.322542300000000004e-02,1.854323700000000130e-01,2.755435700000000154e-02,9.039834999999999537e-03,-1.555461999999999900e+00,2.607762000000000135e+00,2.839607200000000109e+00,-9.194656000000000162e+00
-5.266953162884614736e-02,7.108342607692308412e-02,2.676860858653846292e-02,-2.484853874999999879e-01,9.943212598076923980e-02,-9.858369538461538184e+00,2.298976770000000225e-01,-7.882962799999999881e-02,3.900640369999999746e-01,3.977106057142857054e+01,2.524928571428571544e+01,9.818421000000000509e-01,-1.416272900000000064e-02,-1.579453600000000138e-02,1.885108199999999956e-01,2.892356000000000094e-02,1.384275299999999931e-02,-1.529272200000000081e+00,2.596848000000000045e+00,2.876641499999999851e+00,-9.495623999999999398e+00
-1.885166241800000086e-02,1.147191203999999888e-02,2.989990963800000234e-02,-3.172497008000000895e-01,1.681904384000000308e-01,-9.839837725999998952e+00,2.313885466666666668e-01,-8.146371777777777767e-02,3.857081333333333140e-01,4.010390623076924044e+01,2.526230746153845885e+01,9.812475400000000292e-01,-1.625230299999999919e-02,-1.485131899999999998e-02,1.914905600000000041e-01,2.658421500000000132e-02,-8.712956000000000867e-03,-1.551660999999999957e+00,2.624268499999999893e+00,2.903613599999999906e+00,-9.800468999999999653e+00
-6.637538478200000203e-02,2.132945200999999957e-02,1.791794728000000239e-02,-2.050461196599999980e-01,1.940577956600000042e-01,-9.821095771999999613e+00,2.323824588888888654e-01,-8.276450222222223041e-02,3.877660422222222181e-01,4.051109899999999442e+01,2.527142757142856411e+01,9.805962400000000079e-01,-1.393755600000000025e-02,-1.531321199999999966e-02,1.949419400000000080e-01,1.456288300000000042e-02,-2.390359200000000128e-02,-1.544015300000000090e+00,2.627256899999999895e+00,2.900148900000000030e+00,-1.009594599999999964e+01
-8.014435843800001014e-02,2.980159475999999766e-02,7.107202127800000581e-03,-2.933898165000000668e-01,2.494309843999999721e-01,-9.716446200000000033e+00,2.327137644444444431e-01,-8.536606666666667065e-02,3.860511177777777858e-01,4.126124207692308232e+01,2.528230669230769578e+01,9.802196600000000482e-01,-1.464597200000000016e-02,-1.353938200000000085e-02,1.969048399999999976e-01,-4.621749300000000185e-03,-2.554211799999999907e-02,-1.540818900000000102e+00,2.644709300000000152e+00,2.913829999999999920e+00,-1.042985999999999969e+01
-4.140482729607843776e-02,5.116595796078430430e-02,-5.392405169803921212e-03,-1.736130258823529449e-01,3.005128296470587768e-01,-9.671843141176470482e+00,2.313885489999999989e-01,-8.526850799999999286e-02,3.879032359999999846e-01,4.139968619999999788e+01,2.529599960000000536e+01,9.800004399999999727e-01,-1.820507500000000112e-02,-1.314690150000000050e-02,1.977244200000000118e-01,-8.941196999999999687e-03,-2.316647800000000076e-02,-1.568324300000000004e+00,2.638018600000000102e+00,2.918715699999999913e+00,-1.081665100000000024e+01
2.679747703199999997e-02,8.600413481000000748e-02,-2.813055578599999579e-03,-2.045218971999999968e-01,2.939189235840000136e-01,-1.086545403600000093e+01,2.277442022222222195e-01,-8.536606666666667065e-02,3.935967688888888927e-01,4.179545585714284783e+01,2.531357142857142861e+01,9.799676999999999971e-01,-1.927468599999999921e-02,-1.187462599999999924e-02,1.978652800000000045e-01,-4.564679999999999779e-03,-1.972480299999999909e-02,-1.552034700000000100e+00,2.634820700000000127e+00,2.912879199999999891e+00,-1.114644299999999966e+01
-1.006134628431372829e-01,-6.806547474509803963e-02,-2.158405055745098514e-02,-3.544681936470587269e-01,4.851215692156862214e-01,-1.198698597058823623e+01,2.287381088888889025e-01,-8.341489333333335088e-02,3.956546655555555625e-01,4.192681700000000689e+01,2.532499999999999218e+01,9.801172000000000217e-01,-1.132286249999999925e-02,-5.756241700000000287e-03,1.980128300000000008e-01,-4.840432000000000068e-02,-5.178700999999999964e-03,-1.855131000000000085e+00,2.613824800000000170e+00,2.932963099999999823e+00,-1.153354399999999913e+01
-1.267922940800000065e-01,-3.611367422280001207e-03,-2.948154141200000355e-02,-1.484608033000000549e-01,4.576599778000000618e-01,-1.157115548999999888e+01,2.337076766666666972e-01,-8.504087111111111041e-02,3.887949888888889149e-01,4.163408507142857218e+01,2.533642857142856641e+01,9.803029300000000168e-01,-1.655003000000000030e-02,-1.637653999999999846e-02,1.961228299999999980e-01,-8.822913000000000283e-02,1.737124699999999938e-02,-2.295052000000000092e+00,2.595814199999999961e+00,2.942793800000000015e+00,-1.192832199999999965e+01
-1.807828498680000007e-01,-3.877807583199999880e-02,-4.350207548400000096e-02,-2.495806077999999928e-01,6.163866153400000547e-01,-1.049500499600000225e+01,2.380146388888888798e-01,-9.349597111111111747e-02,3.860511144444445097e-01,4.221938784615384321e+01,2.534307692307692506e+01,9.806394600000000183e-01,-2.718550900000000006e-02,-2.075532299999999913e-02,1.928123099999999868e-01,-8.751873999999999765e-02,3.805642599999999737e-02,-2.578313399999999866e+00,2.565474299999999985e+00,2.952820500000000070e+00,-1.232878999999999969e+01
