timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1075726383,40023207,32.3873805,-117.07638700000001,6.247075,-0.5251256,-6.892592,-0.00497199,-0.019541295,0.0,0.21143673,0.027498597,-1.181726,-1.1413181,-0.07570497,0.020968163,0.11818779,-3.212271,1.924311,-1.4042287,0.38592473,16.215641,4.311616,1.181726,0.29327407,0.23904869,0.14839435,0.10376438,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075830397,40023207,32.3873805,-117.07638700000001,6.2740498,-0.5276328,-7.013633,-0.00497199,-0.019541295,0.0,0.22154316,0.030503877,-1.1600415,-1.1230453,-0.07570497,0.020968163,0.11818779,0.15969218,0.12635571,0.21334916,0.38537627,16.215641,4.432657,1.1600415,0.3048147,0.2401749,0.15264817,0.104445115,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075926418,40023207,32.3873805,-117.07638700000001,6.2978926,-0.5283222,-7.122632,-0.00497199,-0.019541295,0.0,0.21161823,0.034560043,-1.1493696,-1.1137943,-0.07570497,0.020968163,0.11818779,-0.88556767,0.77374005,-0.8683894,0.38517934,16.215641,4.541656,1.1493696,0.2944304,0.23956428,0.14812784,0.10394282,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076031207,40023207,32.3873805,-117.07638700000001,6.3215218,-0.52837247,-7.2406387,-0.00497199,-0.019541295,0.0,0.20257519,0.027836328,-1.1439035,-1.1095542,-0.07570497,0.020968163,0.11818779,0.46761787,-0.21834151,0.0045048594,0.38476717,16.215641,4.6596627,1.1439035,0.30632904,0.23927778,0.15262645,0.10423198,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076135204,40023207,32.3873805,-117.07638700000001,6.3449574,-0.52904737,-7.3599052,-0.00497199,-0.019541295,0.0,0.19174206,0.034770984,-1.1409113,-1.1102021,-0.07570497,0.020968163,0.11818779,2.9338288,1.0615044,3.8192616,0.3843961,16.215641,4.778929,1.1409113,0.2967898,0.23934996,0.14855461,0.103944294,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076231200,40023207,32.3873805,-117.07638700000001,6.3675556,-0.5313996,-7.4693303,-0.00497199,-0.019541295,0.0,0.17758565,0.03344264,-1.1423005,-1.1139803,-0.07570497,0.020968163,0.11818779,-0.81441116,-0.59834534,2.4804268,0.3841517,16.215641,4.8883543,1.1423005,0.30789423,0.24020886,0.15276875,0.10449214,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076336026,40023207,32.3873805,-117.07638700000001,6.390837,-0.53384507,-7.589162,-0.00497199,-0.019541295,0.0,0.16571566,0.035482854,-1.1517036,-1.1259059,-0.07570497,0.020968163,0.11818779,3.182296,0.9537835,3.287549,0.38439345,16.215641,5.008186,1.1517036,0.29793194,0.24022505,0.14857334,0.104175754,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076440002,40023207,32.3873805,-117.07638700000001,6.41557,-0.53982997,-7.708259,-0.00497199,-0.019541295,0.0,0.14951223,0.030622039,-1.1645687,-1.1398082,-0.07570497,0.020968163,0.11818779,2.1341805,0.40374708,0.7906394,0.3848584,16.215641,5.127283,1.1645687,0.30987713,0.24162017,0.15313645,0.10488916,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076536001,40023207,32.3873805,-117.07638700000001,6.4373274,-0.5462665,-7.81923,-0.00497199,-0.019541295,0.0,0.13775021,0.033064056,-1.1777723,-1.1534857,-0.07570497,0.020968163,0.11818779,0.042454854,1.6696491,-1.5340736,0.38572985,16.215641,5.238254,1.1777723,0.29903075,0.23927219,0.14869826,0.10392759,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076636814,40023207,32.3873805,-117.07638700000001,6.460845,-0.5565865,-7.9389286,-0.00497199,-0.019541295,0.0,0.12715043,0.028357765,-1.2018286,-1.1794219,-0.07570497,0.020968163,0.11818779,-1.5501735,-1.2055824,-4.84509,0.38721192,16.215641,5.3579526,1.2018286,0.31097904,0.2406407,0.15337478,0.10463317,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076740795,40023207,32.3873805,-117.07638700000001,6.4837375,-0.5651701,-8.0643425,-0.00497199,-0.019541295,0.0,0.12108283,0.034030408,-1.2135826,-1.1932476,-0.07570497,0.020968163,0.11818779,1.483664,-1.8953124,0.38236046,0.38888234,16.215641,5.4833665,1.2135826,0.30039012,0.23892519,0.14910546,0.103879355,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076844790,40023207,32.3873805,-117.07638700000001,6.5072384,-0.5739072,-8.193405,-0.00497199,-0.019541295,0.0,0.108799584,0.043869108,-1.2343717,-1.2171206,-0.07570497,0.020968163,0.11818779,1.0309232,-1.7190964,-1.4849595,0.38985804,16.215641,5.612429,1.2343717,0.31198555,0.24008814,0.15356942,0.10458075,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1076941606,40023207,32.3873805,-117.07638700000001,6.528033,-0.57973135,-8.315799,-0.00497199,-0.019541295,0.0,0.105442226,0.061292086,-1.242615,-1.2277763,-0.07570497,0.020968163,0.11818779,1.0458484,-0.4430899,1.5984305,0.3901959,16.215641,5.7348228,1.242615,0.3001625,0.23782007,0.14895922,0.10366612,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1077045617,40023207,32.3873805,-117.07638700000001,6.551833,-0.58462197,-8.449939,-0.00497199,-0.019541295,0.0,0.10200699,0.07483392,-1.2826538,-1.271296,-0.07570497,0.020968163,0.11818779,0.6451126,-0.39068475,0.8786357,0.39049307,16.215641,5.868963,1.2826538,0.31209248,0.23926915,0.15367052,0.10440437,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
