timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
89103535,-95.720665,26.76,102479.99,1.2176318
89113553,-96.04832,26.76,102484.0,1.2176795
89135951,-95.88449,26.76,102481.99,1.2176555
89146793,-95.636116,26.76,102478.99,1.2176199
89157027,-95.308464,26.76,102475.0,1.2175726
89179836,-96.04832,26.76,102484.0,1.2176795
89190801,-95.720665,26.76,102479.99,1.2176318
89202346,-95.55685,26.76,102478.0,1.2176082
89225545,-95.799934,26.76,102480.99,1.2176437
89236831,-95.38773,26.76,102476.0,1.2175844
89247829,-95.308464,26.76,102475.0,1.2175726
89269927,-95.636116,26.76,102478.99,1.2176199
89281367,-95.96376,26.76,102482.99,1.2176675
89291829,-95.38773,26.76,102476.0,1.2175844
89313546,-95.96376,26.76,102482.99,1.2176675
89324858,-95.47229,26.76,102477.0,1.2175963
89335835,-95.47229,26.76,102477.0,1.2175963
89357913,-95.38773,26.76,102476.0,1.2175844
89370126,-95.636116,26.76,102478.99,1.2176199
89381036,-95.55685,26.76,102478.0,1.2176082
89403929,-95.720665,26.76,102479.99,1.2176318
89414790,-95.223915,26.76,102474.0,1.2175606
89426615,-95.144646,26.76,102473.0,1.2175487
89449634,-95.144646,26.76,102473.0,1.2175487
89460882,-95.144646,26.76,102473.0,1.2175487
89471829,-95.38773,26.76,102476.0,1.2175844
89493913,-95.55685,26.76,102478.0,1.2176082
89505353,-95.06009,26.76,102472.0,1.2175369
89515829,-95.636116,26.76,102478.99,1.2176199
89538348,-94.81171,26.76,102468.99,1.2175012
89548867,-94.89626,26.76,102469.99,1.217513
89559830,-95.06009,26.76,102472.0,1.2175369
89581914,-94.97553,26.769999,102471.0,1.217525
89593366,-94.72716,26.769999,102467.99,1.2174892
89603834,-94.56333,26.769999,102466.0,1.2174656
89626738,-95.144646,26.769999,102473.0,1.2175487
89637951,-94.64789,26.769999,102466.99,1.2174773
89649611,-94.89626,26.769999,102469.99,1.217513
89671942,-94.64789,26.769999,102466.99,1.2174773
89682793,-94.64789,26.769999,102466.99,1.2174773
89693919,-94.72716,26.769999,102467.99,1.2174892
89715961,-95.06009,26.769999,102472.0,1.2175369
89727547,-94.48406,26.769999,102465.0,1.2174537
89737959,-94.97553,26.769999,102471.0,1.217525
89759967,-94.72716,26.769999,102467.99,1.2174892
89771551,-94.31496,26.769999,102463.0,1.21743
89781972,-94.56333,26.769999,102466.0,1.2174656
89804004,-94.31496,26.769999,102463.0,1.21743
89815550,-94.56333,26.769999,102466.0,1.2174656
89825961,-94.48406,26.769999,102465.0,1.2174537
89848007,-94.23569,26.769999,102462.0,1.2174181
89858545,-94.72716,26.769999,102467.99,1.2174892
89869027,-94.23569,26.769999,102462.0,1.2174181
89889552,-94.31496,26.769999,102463.0,1.21743
89900870,-93.82348,26.769999,102456.99,1.2173586
89911831,-94.07186,26.769999,102460.0,1.2173944
89933898,-94.48406,26.769999,102465.0,1.2174537
89945370,-93.65437,26.769999,102454.99,1.2173347
89955835,-93.987305,26.769999,102459.0,1.2173824
89978330,-93.90275,26.769999,102457.99,1.2173704
89989941,-94.399506,26.769999,102464.0,1.2174418
90001642,-94.15113,26.769999,102461.0,1.2174062
90023932,-94.23569,26.769999,102462.0,1.2174181
90034792,-94.15113,26.769999,102461.0,1.2174062
90045953,-94.31496,26.769999,102463.0,1.21743
90067962,-94.15113,26.769999,102461.0,1.2174062
90079552,-93.49055,26.769999,102453.0,1.2173111
90089971,-94.07186,26.769999,102460.0,1.2173944
90111967,-94.23569,26.769999,102462.0,1.2174181
90123545,-93.987305,26.769999,102459.0,1.2173824
90133964,-93.65437,26.769999,102454.99,1.2173347
90155964,-93.49055,26.769999,102453.0,1.2173111
90167555,-93.65437,26.769999,102454.99,1.2173347
90177967,-93.65437,26.769999,102454.99,1.2173347
90199963,-93.65437,26.779999,102454.99,1.2173347
90210553,-93.73893,26.779999,102455.99,1.2173467
90221010,-93.5751,26.779999,102453.99,1.217323
90244811,-93.5751,26.779999,102453.99,1.217323
90255934,-93.32673,26.779999,102451.0,1.2172873
90267002,-93.24217,26.779999,102450.0,1.2172755
90289118,-93.32673,26.779999,102451.0,1.2172873
90301640,-93.07835,26.779999,102448.0,1.2172517
90313154,-93.07835,26.779999,102448.0,1.2172517
90337149,-93.65437,26.779999,102454.99,1.2173347
90349638,-93.82348,26.779999,102456.99,1.2173586
90361241,-93.5751,26.779999,102453.99,1.217323
90384229,-93.49055,26.769999,102453.0,1.2173111
90396484,-93.5751,26.769999,102453.99,1.217323
90406793,-93.24217,26.769999,102450.0,1.2172755
90428819,-93.07835,26.769999,102448.0,1.2172517
90439946,-93.41128,26.769999,102452.0,1.2172992
90450796,-93.1629,26.769999,102449.0,1.2172636
90473038,-93.32673,26.779999,102451.0,1.2172873
90484832,-93.32673,26.779999,102451.0,1.2172873
90496808,-92.91453,26.779999,102446.0,1.2172279
90519732,-92.99908,26.769999,102447.0,1.2172399
90531938,-92.91453,26.769999,102446.0,1.2172279
90541966,-93.49055,26.769999,102453.0,1.2173111
90564245,-93.24217,26.769999,102450.0,1.2172755
90576857,-92.82997,26.769999,102444.99,1.217216
90588243,-92.82997,26.769999,102444.99,1.217216
90612243,-93.24217,26.769999,102450.0,1.2172755
90624386,-93.07835,26.769999,102448.0,1.2172517
90635515,-92.58159,26.769999,102441.99,1.2171804
