timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
292642932,-0.3246166,-0.03980074,0.07858977,-0.9417344,-4.090795,2.8491802,-0.15956794,89.40411,47.838047,-34.792473,1.1889926e-05,-5.610303e-06,2.6844175e-06,0.0015683948,-0.0002100809,-0.00075126684,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.5460693e-07,0.000838654,0.038544055,2.859247e-05,5.7664743e-06,5.4557595e-06,3.4245866e-06,0.013330037,0.013374854,0.010819993,0.05645066,0.056457855,0.057762932,1.2963562e-11,1.248448e-11,1.725946e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33601862,0.2403392,0.0047979476,0.07687622,0.0065608667,0.050137557,0.0,0.0,0.0,-0.007021,0,0,0,831,24,0,0,0
292842961,-0.3245074,-0.03469149,0.09076041,-0.94087946,-4.108078,2.825016,-0.20872395,88.57207,48.404587,-34.765137,1.1853622e-05,-5.7061056e-06,2.6776945e-06,0.0015690714,-0.00020717044,-0.0007797857,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.861165e-07,0.00084110175,0.039823763,2.8571061e-05,5.886642e-06,5.479413e-06,3.4380957e-06,0.013332202,0.013382168,0.010759953,0.05610178,0.05610912,0.057251584,1.2941106e-11,1.2467971e-11,1.7268088e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33497897,0.23927303,0.005757639,0.07134124,0.014740672,0.026355814,0.0,0.0,0.0,-0.006998,0,0,0,831,24,0,0,0
293042935,-0.323974,-0.03322264,0.09476595,-0.94072133,-4.096942,2.858789,-0.17913459,87.746826,48.966637,-34.744415,1.1810733e-05,-5.774222e-06,2.6683795e-06,0.0015696308,-0.00020497848,-0.00080556,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.3523414e-07,0.00081778376,0.03871705,2.8638893e-05,5.9545996e-06,5.5145374e-06,3.4422374e-06,0.013265837,0.013319855,0.010797917,0.05575963,0.055768065,0.05760929,1.2916072e-11,1.2448388e-11,1.7286818e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3339576,0.24001935,0.0023552838,0.049841654,0.005570522,0.058144215,0.0,0.0,0.0,-0.007019,0,0,0,831,24,0,0,0
293244524,-0.32344756,-0.028500112,0.097987175,-0.94072735,-4.094634,2.8730574,-0.19055724,86.925995,49.532234,-34.713432,1.1785273e-05,-5.913939e-06,2.634018e-06,0.0015706662,-0.0002014661,-0.0008343,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.0384913e-07,0.0007992169,0.038874283,2.8672708e-05,6.0174916e-06,5.544104e-06,3.442325e-06,0.0132534625,0.013311458,0.010828728,0.05549769,0.05550822,0.057925828,1.2889274e-11,1.242803e-11,1.7295915e-11,5.0000036e-08,5.0000036e-08,5.0000043e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33317548,0.24067785,0.01897359,0.07551195,0.009301088,0.054798745,0.0,0.0,0.0,-0.00703,0,0,0,831,24,0,0,0
293451748,-0.3226351,-0.03003829,0.09983499,-0.9407642,-4.0441947,2.9188364,-0.21886905,86.06252,50.12316,-34.724266,1.16874935e-05,-6.058045e-06,2.6113955e-06,0.0015727938,-0.00019998259,-0.00085255253,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.0828614e-07,0.0007447316,0.036186736,2.8690276e-05,6.073252e-06,5.5910414e-06,3.432064e-06,0.013318468,0.013373802,0.010723577,0.05561096,0.055624675,0.05697106,1.2870596e-11,1.2416545e-11,1.7308219e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33352005,0.23868611,0.002659196,0.095027104,0.01994411,0.06827986,0.0,0.0,0.0,-0.007005,0,0,0,831,24,0,0,0
293646911,-0.32056662,-0.0343377,0.09422262,-0.94190246,-3.9375973,2.9391456,-0.21063575,85.264595,50.691998,-34.686028,1.1634726e-05,-6.199612e-06,2.599528e-06,0.0015735419,-0.00019669381,-0.00088543823,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.9657637e-07,0.0007145177,0.037547193,2.8830864e-05,6.0619095e-06,5.6362087e-06,3.392902e-06,0.013289398,0.013336012,0.010648326,0.05520517,0.05522159,0.056355923,1.2845928e-11,1.2397933e-11,1.733388e-11,5.0000043e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33230522,0.23739402,0.009511516,0.06956784,0.025996787,0.051915377,0.0,0.0,0.0,-0.007042,0,0,0,831,24,0,0,0
293854117,-0.31807357,-0.036588017,0.098240376,-0.94225234,-3.8991435,2.9507,-0.20127523,84.43273,51.28645,-34.662315,1.151654e-05,-6.3136613e-06,2.5848378e-06,0.0015748718,-0.00019463255,-0.0009121948,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,2.1645879e-07,0.00072856224,0.036869682,2.8908378e-05,6.1254814e-06,5.6784666e-06,3.3547553e-06,0.013328444,0.0133735025,0.010655621,0.055351358,0.05537119,0.056304075,1.28176315e-11,1.2375898e-11,1.7347512e-11,5e-08,5e-08,5.000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33275,0.2372848,0.010002956,0.096607976,0.01809198,0.0576071,0.0,0.0,0.0,-0.007036,0,0,0,831,24,0,0,0
294054116,-0.31577215,-0.035355847,0.09792964,-0.94310534,-3.9249692,2.9636629,-0.2175996,83.632454,51.86826,-34.633163,1.1410936e-05,-6.3871594e-06,2.5700613e-06,0.0015757431,-0.00019254682,-0.00093994377,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.9889437e-07,0.0007199076,0.03396891,2.8997934e-05,6.1496244e-06,5.706513e-06,3.3141453e-06,0.013319165,0.013366666,0.010713786,0.055160306,0.055182748,0.056745656,1.2781619e-11,1.2346826e-11,1.7355437e-11,5e-08,5e-08,5.000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33217925,0.23821346,0.003796349,0.0816197,0.01304065,0.07141001,0.0,0.0,0.0,-0.007039,0,0,0,831,24,0,0,0
294254137,-0.31406572,-0.040251743,0.09928528,-0.9433372,-3.8729048,3.000758,-0.27942193,82.83757,52.463993,-34.61136,1.1347992e-05,-6.4436804e-06,2.5724128e-06,0.0015759257,-0.00019007263,-0.0009706516,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.970015e-07,0.00080852857,0.03310831,2.9054383e-05,6.1776936e-06,5.7437696e-06,3.2870005e-06,0.013347234,0.013389455,0.010678623,0.055001404,0.05502623,0.056392696,1.27447835e-11,1.23167535e-11,1.7364743e-11,5e-08,5e-08,5.000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33170414,0.23747146,0.014878714,0.051760904,0.009560042,0.027404375,0.0,0.0,0.0,-0.007017,0,0,0,831,24,0,0,0
294460513,-0.31261092,-0.041031595,0.09942351,-0.9437721,-3.8459387,3.0152717,-0.26278496,82.05513,53.04737,-34.60522,1.1216718e-05,-6.6579632e-06,2.5641796e-06,0.0015778414,-0.00018641475,-0.0009964886,0.24225645,0.051870674,0.38934177,-0.0010956401,-0.009657394,-0.0017207693,0.0,0.0,1.7144312e-07,0.0007991372,0.032768298,2.9136792e-05,6.2042886e-06,5.7778275e-06,3.2660348e-06,0.013333978,0.013375167,0.01068823,0.05515025,0.055177476,0.056383938,1.270992e-11,1.22888505e-11,1.7378104e-11,5e-08,5e-08,5.000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.33215618,0.23745303,0.0029154446,0.13702479,0.026653754,0.027090015,0.0,0.0,0.0,-0.007041,0,0,0,831,24,0,0,0
