timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
1178318596,0.99658203,-0.046813488,-0.06777996,0.0062104985,5.091779,0.03880436,-0.016500717,145.06474,-46.191254,-22.794659,3.8906623e-05,-6.28622e-05,3.2135536e-06,-0.00020628543,0.00012716155,-1.5960568e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.8324345e-07,0.0013608491,0.03261156,5.6504636e-08,4.142236e-06,3.985083e-06,3.3487646e-05,0.011728163,0.011729107,0.005960808,0.04822937,0.04823813,0.046756502,1.12582955e-11,1.0985619e-11,1.770953e-11,1.0000263e-08,1.0000276e-08,1.0000074e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31059217,0.21623252,0.0041495007,0.06859163,0.077844694,0.061450668,0.0,0.0,0.0,3.2e-05,0,0,0,831,0,0,0,0
1178523337,0.9964831,-0.047917895,-0.06862286,0.004045183,5.062859,0.026738139,-0.089386806,146.1246,-46.157265,-22.792278,3.8790953e-05,-6.268497e-05,3.2574708e-06,-0.00020658353,0.00012825399,-1.6992326e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.3996227e-07,0.0012565559,0.03376656,5.6675947e-08,4.1427124e-06,3.983669e-06,3.3510816e-05,0.0117631955,0.011762819,0.0059420695,0.048187368,0.048195377,0.0465162,1.1238709e-11,1.09686505e-11,1.7711667e-11,1.0000266e-08,1.0000278e-08,1.0000037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3104557,0.21567614,0.006752079,0.0668349,0.08117498,0.01471925,0.0,0.0,0.0,-2.6e-05,0,0,0,831,0,0,0,0
1178727348,0.99626595,-0.049298286,-0.07086016,0.0016971867,5.062435,0.016338227,-0.061337214,147.22269,-46.127884,-22.809057,3.8681297e-05,-6.2515006e-05,3.291966e-06,-0.00020677102,0.00012922731,-1.6364782e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.4958086e-07,0.0012423502,0.031267468,5.80318e-08,4.1559915e-06,3.986967e-06,3.359494e-05,0.011772898,0.011772095,0.0059402944,0.048318725,0.048326045,0.04649173,1.1224435e-11,1.095619e-11,1.7730241e-11,1.00002895e-08,1.0000306e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3108774,0.21561942,0.016151262,0.07009048,0.069294825,0.0037807068,0.0,0.0,0.0,-1.6e-05,0,0,0,831,0,0,0,0
1178927382,0.99614495,-0.04909614,-0.072696425,0.0004981547,5.061233,-0.0002424717,-0.030459564,148.27464,-46.106575,-22.799109,3.8591974e-05,-6.236906e-05,3.331806e-06,-0.00020708164,0.00013017625,-2.0069154e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.4885358e-07,0.0012126248,0.033729784,5.88901e-08,4.1643316e-06,3.9820375e-06,3.361395e-05,0.01175336,0.011751768,0.0059570484,0.048225593,0.048232026,0.046769764,1.120712e-11,1.0941283e-11,1.7731774e-11,1.0000329e-08,1.0000343e-08,1.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31057626,0.21626319,0.0027138058,0.04928782,0.08688672,0.0057625896,0.0,0.0,0.0,2e-05,0,0,0,831,0,0,0,0
1179131361,0.9963093,-0.04701655,-0.0718129,-0.00032380017,5.0671773,-0.020115944,0.0078121684,149.31718,-46.081394,-22.790913,3.8445356e-05,-6.224001e-05,3.386345e-06,-0.00020759675,0.0001310765,-2.2758464e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.350591e-07,0.0011708027,0.03421504,5.7648197e-08,4.155354e-06,3.969858e-06,3.3652625e-05,0.011709528,0.011706723,0.0059363525,0.048050415,0.048055917,0.046506938,1.118829e-11,1.0924702e-11,1.7733084e-11,1.0000262e-08,1.0000273e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31001022,0.21565467,0.0046868343,0.09231118,0.057534765,0.023294024,0.0,0.0,0.0,-2e-06,0,0,0,831,0,0,0,0
1179336168,0.99639744,-0.045883752,-0.071316995,-0.0008757929,5.0529356,0.007601238,-0.0065382025,150.41241,-46.049255,-22.809702,3.8267954e-05,-6.204479e-05,3.4528466e-06,-0.00020793357,0.00013215563,-2.0691486e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.0653598e-07,0.0011749532,0.035004985,5.7056884e-08,4.1574945e-06,3.970452e-06,3.3704735e-05,0.011761799,0.011761335,0.005932421,0.048216444,0.04822122,0.04645048,1.1175776e-11,1.0914505e-11,1.7738398e-11,1.000034e-08,1.0000351e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31054413,0.21552373,0.018362975,0.11365953,0.07052796,0.021404017,0.0,0.0,0.0,6e-06,0,0,0,831,0,0,0,0
1179536179,0.99650794,-0.04665439,-0.06923943,-0.0011195784,5.0564904,-0.002245537,-0.0040820236,151.46613,-46.019753,-22.804342,3.8124956e-05,-6.188951e-05,3.5023813e-06,-0.00020830407,0.00013307908,-2.160648e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,3.1335557e-07,0.0011976806,0.035323605,5.633264e-08,4.1452504e-06,3.97244e-06,3.3791443e-05,0.01176649,0.0117657455,0.005955856,0.048140235,0.048144467,0.046781313,1.1162421e-11,1.0903104e-11,1.7752345e-11,1.0000376e-08,1.00003845e-08,1.0000074e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31029776,0.21628988,0.013635418,0.08601009,0.071006075,0.011791303,0.0,0.0,0.0,1.4e-05,0,0,0,831,0,0,0,0
1179740181,0.99639344,-0.047472175,-0.0702615,-0.0031312206,5.052279,-0.026415734,-0.073084496,152.51741,-45.99545,-22.810583,3.8009643e-05,-6.1711435e-05,3.5360567e-06,-0.00020848966,0.00013400985,-2.1769332e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,4.0337673e-07,0.0012289142,0.034351148,5.7528784e-08,4.148234e-06,3.971426e-06,3.380802e-05,0.011806409,0.011804264,0.0059366105,0.04803133,0.048035037,0.04652247,1.11466504e-11,1.0889793e-11,1.7753127e-11,1.0000345e-08,1.0000356e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.30994576,0.21569067,0.0140137235,0.079286486,0.06863335,0.012810512,0.0,0.0,0.0,1.6e-05,0,0,0,831,0,0,0,0
1179944184,0.9971847,-0.048293494,-0.057092253,-0.00557239,5.01014,-0.041011713,-0.082592726,153.60657,-45.968906,-22.819975,3.7853217e-05,-6.154363e-05,3.5878863e-06,-0.00020883312,0.000134948,-2.1946646e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,5.2993994e-07,0.0012081254,0.0328941,5.2575672e-08,4.0859773e-06,3.9844927e-06,3.3915407e-05,0.011869838,0.0118662575,0.005934779,0.04824367,0.048246812,0.04647435,1.1135583e-11,1.0881169e-11,1.7757958e-11,1.0000387e-08,1.0000398e-08,1.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3106292,0.2155791,0.011641065,0.09508866,0.07009075,0.04155135,0.0,0.0,0.0,2e-05,0,0,0,831,0,0,0,0
1180144963,0.99836874,-0.048616987,-0.028709538,-0.008483286,4.9109983,-0.045682184,-0.073759824,154.63992,-45.94287,-22.83864,3.7676768e-05,-6.1381616e-05,3.63567e-06,-0.00020921399,0.00013586157,-2.159622e-05,0.24335514,0.045375977,0.39951086,0.001063876,-0.002067409,0.008633547,0.0,0.0,0.0,6.057124e-07,0.0011966215,0.032819718,4.558875e-08,3.975596e-06,3.99123e-06,3.4044126e-05,0.011865233,0.011861643,0.0059200083,0.048182525,0.04818501,0.046245217,1.1121645e-11,1.0868401e-11,1.7758173e-11,1.0000371e-08,1.0000404e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3104312,0.21504702,0.010334638,0.10580834,0.06716636,0.040509705,0.0,0.0,0.0,0.0,0,0,0,831,0,0,0,0
