timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1234298452,0.28992322,0.008350077,0.3288769
1234320943,0.29291752,0.008350077,0.3258254
1234342444,0.28992322,0.0053600874,0.3227739
1234364862,0.29291752,0.0053600874,0.3227739
1234388959,0.28992322,0.008350077,0.3227739
1234410491,0.28992322,0.008350077,0.31972238
1234432960,0.28992322,0.008350077,0.3258254
1234454485,0.28992322,0.008350077,0.3227739
1234475488,0.28992322,0.008350077,0.3288769
1234498455,0.28992322,0.008350077,0.31972238
1234520989,0.29291752,0.008350077,0.3288769
1234542455,0.28992322,0.008350077,0.31972238
1234564851,0.29291752,0.0053600874,0.3258254
1234588920,0.29291752,0.008350077,0.3288769
1234612821,0.28992322,0.0053600874,0.31972238
1234633494,0.29291752,0.0053600874,0.33497995
1234655444,0.28992322,0.008350077,0.3258254
1234678587,0.28992322,0.0053600874,0.3227739
1234699484,0.28692892,0.008350077,0.3288769
1234722491,0.28992322,0.0053600874,0.3227739
1234744981,0.28992322,0.011340066,0.3227739
1234767457,0.28992322,0.0053600874,0.3288769
1234790444,0.28992322,0.008350077,0.3258254
1234812446,0.28992322,0.008350077,0.3258254
1234834456,0.28992322,0.008350077,0.3227739
1234856445,0.28992322,0.008350077,0.3258254
1234880446,0.28992322,0.008350077,0.3258254
1234902449,0.28992322,0.008350077,0.3258254
1234924444,0.28692892,0.008350077,0.3288769
1234946488,0.28992322,0.008350077,0.3288769
1234968444,0.28992322,0.008350077,0.3227739
1234992452,0.28992322,0.008350077,0.3227739
1235016446,0.29291752,0.0053600874,0.3227739
1235040452,0.28992322,0.008350077,0.3227739
1235064445,0.28992322,0.008350077,0.31972238
1235086444,0.29291752,0.008350077,0.3319284
1235108444,0.28992322,0.008350077,0.3227739
1235132454,0.29591188,0.008350077,0.3258254
1235154454,0.29291752,0.011340066,0.3258254
1235176453,0.29291752,0.008350077,0.31667086
1235200443,0.29291752,0.011340066,0.3258254
1235224445,0.28992322,0.011340066,0.3258254
1235248451,0.29291752,0.008350077,0.31972238
1235270453,0.29291752,0.008350077,0.3227739
1235292452,0.28992322,0.011340066,0.3227739
1235316452,0.29291752,0.008350077,0.3227739
1235340453,0.29291752,0.011340066,0.31972238
1235364444,0.28992322,0.008350077,0.31972238
