w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,Vn,Ve,Vd,Pn,Pe,Pd
-0.0070441825635999995,0.0015780154743999994,0.00104118070446,-0.18717079579999993,0.24723535520000003,-9.692689440000002,0.005439068172499998,-0.17979154437499997,0.2506991025,-0.023820934873640454,0.00032755398,-0.001245259,0.29251996,0.00014270868,-0.00034294336,0.5392231
-0.008002211480392159,0.0014803908024509807,0.0009791795833529412,-0.18511489137254905,0.24203097294117643,-9.710854509803921,0.005003367933333333,-0.18098232666666667,0.251381244,0.15461514212868366,0.00075951125,-0.0011410271,0.2978421,0.00023677961,-0.00039453828,0.56816214
-0.009247266509,0.0027845101066000006,0.0014035378180000003,-0.18088990880000005,0.243792024,-9.707831220000001,0.005386814518312499,-0.18401678562499998,0.250734974375,-0.10745398203531664,0.0020960704,-0.00033260125,0.29180944,0.0004198738,-0.00034600412,0.5777209
-0.0005499051713999988,0.0020318619472,0.00027136245746799993,-0.1871173562,0.2625675284,-9.703632039999997,0.0013537716862,-0.18167825733333334,0.2516865773333334,0.06781895955403172,0.0037564985,0.0013041077,0.28460398,0.00063564966,-0.00013428659,0.5832171
-0.0052107418686,0.0017042709412,0.0008687345826004,-0.181815344,0.24263970780000005,-9.696607410000002,0.002037628757625,-0.185667666875,0.25314036749999996,0.10505300579649202,0.001968364,0.0005971115,0.27735782,0.00058964116,-4.9000614e-06,0.58610636
-0.006343401479299999,0.0013432361465200002,0.0010961829868000002,-0.1806703142,0.25563694940000004,-9.70096297,0.0014756416038666665,-0.18757401266666668,0.25665371266666664,-0.0715834877707735,0.0021541144,0.0011298946,0.26908845,0.0006377184,9.803423e-05,0.5810258
-0.009488097128039212,0.0012914770347058826,0.0007753134783921567,-0.18736823529411759,0.2382557662745098,-9.705155303921568,0.0020937139659999997,-0.19079059666666665,0.25766945266666663,0.039394378662109375,6.0440318e-05,0.0012849132,0.2593546,0.0005261725,0.00022394407,0.57420176
-0.0019516246022000005,0.0016793176733999994,0.0006632335152400001,-0.18528471179999995,0.2409272486,-9.703544410000001,0.00324006075,-0.1929136075,0.259313945,0.06453736623128492,0.0009103092,0.0007181073,0.24586426,0.0004927547,0.00027567326,0.558414
-0.0027588191576000004,0.0020753441924000007,0.00103941676098,-0.18313012820000002,0.2534332158,-9.696979130000003,0.00501903972647059,-0.19221092411764704,0.25930279352941177,-0.06043451260298127,0.0013780331,0.00054039416,0.23225588,0.00033577564,0.00020028425,0.54102814
-0.008169711391999998,0.0017074995114,0.00098309990412,-0.18674684560000007,0.2493854440000001,-9.702032180000002,0.006413445606666667,-0.19334813800000003,0.25952664599999997,-0.10402988887333464,-0.0003440214,0.00034628224,0.22130331,0.000105660445,0.00013645564,0.5260818
-0.009196048056,0.0015695583280000002,0.00046706798919999974,-0.1830359278,0.242589328,-9.71080533,0.0036123757906249996,-0.193414371875,0.259102925,0.09444277214281982,-0.0008083388,-0.00049382786,0.21774414,5.99687e-05,9.610731e-05,0.53485215
-0.004863795786599999,0.0018465794478,0.0009359859348799998,-0.18390298299999996,0.2412408808,-9.70486005,0.006496482801875001,-0.19522243625000002,0.25857234625000003,0.0960041681925432,-0.0004601608,-0.0002527908,0.20110193,6.488769e-05,4.3157586e-05,0.51066625
-0.003209329331,0.0013247375529459998,0.0010412766440600007,-0.18193857799999996,0.2483447024,-9.705286789999999,0.006731520316666666,-0.19433140133333332,0.25909736666666666,-0.14528751373291016,0.0002787129,-0.0002759643,0.18909118,4.541953e-06,-1.5671623e-05,0.49465874
-0.006901349956600002,0.0015708539460799994,0.0010133746498600003,-0.18170112100000005,0.25102595419999996,-9.696943089999998,0.004233946493750001,-0.193381483125,0.26015876687499995,0.05632940928141039,5.968986e-05,-6.5561086e-05,0.17902437,-0.00011918952,-5.691203e-05,0.48331812
-0.0087789670142,0.00164481316706,0.0005100147397,-0.18285265320000008,0.2491379914,-9.709041479999998,0.006983290414375,-0.19414681875,0.259669263125,0.07618681589762843,-0.000595927,0.00019936661,0.17065325,-0.00011244776,-4.1563817e-05,0.4710859
-0.0063116207331999985,0.0013615417797999995,0.0008761502403599999,-0.18710825519999996,0.24606942720000002,-9.70658995,0.006248100556666667,-0.194746396,0.259867976,-0.14644888675574208,-0.0008243758,0.0003589912,0.15593693,-6.2137486e-05,4.4721037e-05,0.44816166
