w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-5.565967401999999398e-01,-2.804329114999999928e-01,-1.320831784000000120e+00,-1.548047142199999948e+00,1.543073908800000338e-01,-9.685770036000000971e+00,3.094466355555555159e-01,1.293389699999999976e-01,2.729312866666667170e-01,1.166238538461538354e+01,2.627538361538461231e+01,9.050289999999999724e-01,-1.516430500000000015e-01,-1.494213500000000083e-01,-3.682390999999999859e-01,3.997521599999999786e+00,-1.804596499999999937e+00,-3.590776600000000207e-01,3.113809600000000088e+01,2.523019600000000029e+00,-1.057613100000000017e+01
-1.068328332259999985e-01,-1.570940182958399933e-01,-6.182308859999999795e-01,-1.655963526800000141e+00,-3.344821489999999509e-01,-9.437674956000000392e+00,2.955755411111111730e-01,1.675638377777777799e-01,2.592951733333333508e-01,1.122230860714285861e+01,2.627214185714285222e+01,8.362028599999999923e-01,-1.879970599999999936e-01,-1.839107100000000050e-01,-4.812471300000000229e-01,4.041254000000000346e+00,-2.392433399999999821e+00,-2.309405999999999959e-01,3.192581699999999856e+01,2.122006400000000070e+00,-1.062133799999999972e+01
-2.969165757980000153e-01,1.683683122199999826e-01,-8.017470014800000266e-02,-1.767678884120000182e+00,-4.710588745999998994e-01,-9.663624734000000771e+00,2.839750225000000072e-01,1.719743987500000071e-01,2.729312849999999679e-01,1.141258461538461511e+01,2.626076915384615162e+01,8.102127999999999552e-01,-1.903418900000000136e-01,-1.965422199999999897e-01,-5.183592999999999673e-01,4.100766000000000133e+00,-3.106296299999999899e+00,7.444089299999999756e-03,3.276283600000000007e+01,1.582341100000000056e+00,-1.056557399999999980e+01
-2.029678266249999863e-01,-3.306548195576923532e-02,4.799574316153845666e-02,-2.203974140769231038e+00,-5.255822301923076534e-01,-1.047636648653846336e+01,2.801852500000000523e-01,1.522738900000000228e-01,2.880359040000000093e-01,1.151502534615384654e+01,2.625769230769230589e+01,8.040540000000000465e-01,-2.084582100000000049e-01,-1.660494200000000031e-01,-5.314790999999999821e-01,4.031970000000000276e+00,-3.921949999999999825e+00,8.066370999999999958e-02,3.362133999999999645e+01,8.238836499999999674e-01,-1.052655799999999964e+01
2.866550053940000176e-01,2.288059432000000004e-01,8.018599747999999305e-02,-2.288831620099999853e+00,-4.236123731600000553e-01,-9.765194003999999595e+00,2.770807755555556029e-01,1.495948833333333450e-01,2.925113488888888558e-01,1.129987949999999941e+01,2.625357142857142989e+01,8.033757000000000259e-01,-2.228299099999999922e-01,-1.602580999999999867e-01,-5.284425999999999846e-01,3.867230399999999957e+00,-4.685564499999999910e+00,9.110563000000000689e-02,3.443359000000000236e+01,-4.909705400000000108e-02,-1.048426399999999958e+01
2.866946098399999476e-01,1.819697363519999778e-01,4.818292633999999436e-02,-2.411783262760000213e+00,-2.730208144480001931e-01,-9.848908845999998718e+00,2.665123337500000522e-01,1.708717587499999913e-01,2.874852150000000162e-01,1.157930483333333171e+01,2.624500000000000099e+01,8.182069699999999779e-01,-1.824307599999999974e-01,-1.575175199999999942e-01,-5.219624000000000485e-01,3.715564000000000089e+00,-5.304318999999999562e+00,1.915330299999999930e-01,3.521824000000000154e+01,-1.060138800000000048e+00,-1.041862000000000066e+01
2.132865066346153748e-01,5.660120533557692207e-02,3.139115567307692450e-02,-2.546050670961538920e+00,-1.070193772919230263e-01,-9.972234175000000533e+00,2.605675820000000198e-01,1.869703100000000007e-01,2.817423129999999665e-01,1.176272570000000073e+01,2.624000000000000199e+01,8.276489999999999680e-01,-1.525261599999999940e-01,-1.585340000000000082e-01,-5.163331599999999577e-01,3.672360199999999963e+00,-5.852410299999999843e+00,1.672590700000000097e-01,3.603907999999999845e+01,-2.253472599999999826e+00,-1.040104999999999968e+01
7.386386427999998283e-02,1.918562269159999889e-01,1.721139429280000091e-02,-2.650345705880000846e+00,2.434971802000000518e-01,-9.698927420000000410e+00,2.538797287499999777e-01,1.958649512500000023e-01,2.811916225000000158e-01,1.182925796153846143e+01,2.623230769230769610e+01,8.327769000000000421e-01,-1.363184799999999919e-01,-1.613112999999999908e-01,-5.117408599999999641e-01,3.707929399999999820e+00,-6.234394599999999897e+00,1.076392999999999933e-01,3.679923000000000144e+01,-3.460749999999999993e+00,-1.040977400000000053e+01
3.310531178000000047e-02,1.952270493600000156e-01,-6.872089168799998780e-03,-2.783037221200000744e+00,2.080359414000001461e-01,-1.048150253800000264e+01,2.367885722222222156e-01,1.995812522222222274e-01,2.918120611111111318e-01,1.235507953846153661e+01,2.622615384615384926e+01,8.381297599999999459e-01,-1.168955899999999937e-01,-1.452292199999999922e-01,-5.126231300000000379e-01,3.761687300000000178e+00,-6.509355499999999850e+00,3.509782300000000022e-02,3.756067699999999832e+01,-4.741476999999999720e+00,-1.043130400000000080e+01
8.096701936538457448e-03,-2.361380687692307412e-01,-1.722549107884615432e-02,-2.665849076711538590e+00,4.933926051923083478e-02,-8.994360440384614463e+00,2.364583077777778208e-01,1.989278366666666631e-01,2.921617044444444478e-01,1.215609253846153948e+01,2.622000000000000242e+01,8.392266600000000132e-01,-1.107113200000000020e-01,-1.360168800000000067e-01,-5.147243999999999708e-01,3.838159600000000005e+00,-6.683618499999999685e+00,-1.975814999999999932e-01,3.839220999999999862e+01,-6.116170999999999580e+00,-1.055752200000000052e+01
1.232394452599999864e-02,-1.419037487700000044e-01,-1.615045006000000475e-03,-2.872890993859999131e+00,1.661250249059999795e-01,-8.065913082000001566e+00,2.546228222222222115e-01,2.008880833333333282e-01,2.760780866666666111e-01,1.173397489285714457e+01,2.620999999999999730e+01,8.343177999999999983e-01,-1.241796599999999973e-01,-1.618964800000000093e-01,-5.121354999999999658e-01,3.878340699999999863e+00,-6.803858800000000429e+00,-4.046052299999999824e-02,3.920065999999999917e+01,-7.451917599999999808e+00,-1.063005199999999917e+01
-5.861744661600000461e-02,2.396556851599999372e-01,8.314676097599998927e-02,-2.821926425380000492e+00,1.934066757999999830e-01,-8.979794352000000757e+00,2.499991311111111614e-01,1.995812522222222274e-01,2.813227433333332916e-01,1.211157965384615309e+01,2.620769207692307390e+01,8.335696999999999690e-01,-1.249075500000000061e-01,-1.662643599999999999e-01,-5.117772999999999906e-01,3.919959500000000041e+00,-6.970557999999999588e+00,1.998858900000000105e-01,3.998646000000000100e+01,-8.864036000000000470e+00,-1.060430099999999953e+01
1.044136977209999984e+00,3.920704105000000217e-01,7.854070906000000241e-01,-2.950986533186000571e+00,9.371789979599999265e-01,-1.013790125999999958e+01,2.473570233333333424e-01,2.113427455555555445e-01,2.725816477777777691e-01,1.278769392857143039e+01,2.619785614285714104e+01,8.456201599999999541e-01,-1.128994450000000010e-01,-1.451518800000000109e-01,-5.011101000000000028e-01,4.000262000000000207e+00,-7.119017600000000279e+00,2.166223100000000124e-01,4.079131000000000284e+01,-1.028323400000000021e+01,-1.061486200000000046e+01
