timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
8675350,8542451,7046432257,0.000116389274,0.002731098,0.0032857424,0,0.010971137,0.110780805,nan,nan,nan,0.014919,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
8866353,8740452,7046432257,0.000117850934,0.0026956054,0.0036083641,0,0.01071081,0.11132031,nan,nan,nan,0.015897447,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
9073510,8960452,7046432257,0.00010918782,0.0025439113,0.005570013,0,0.010922309,0.11114134,nan,nan,nan,0.01658295,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
9267394,9135452,7046432257,0.000115591334,0.002703299,0.0045159617,0,0.010510175,0.11297348,nan,nan,nan,0.018001437,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
9472371,9343452,7046432257,0.00013514212,0.0026935295,0.0043314453,0,0.010413201,0.11382176,nan,nan,nan,0.017434213,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
9677387,9548451,7046432257,0.00014091522,0.002594985,0.004207016,0,0.010364031,0.1146964,nan,nan,nan,0.018383421,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
9869365,9741451,7046432257,0.00014143175,0.0026399244,0.0046009948,0,0.010125,0.1153131,nan,nan,nan,0.018738663,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
10076338,9942452,7046432257,0.00012742529,0.002345303,0.004278,0,0.010113135,0.11618999,nan,nan,nan,0.01845389,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
10273584,10145451,7046432257,0.000110809735,0.0022224076,0.004250783,0,0.009991609,0.11704748,nan,nan,nan,0.019193178,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
10465298,10334451,7046432257,4.922718e-05,0.0016465037,0.0050040213,0,0.013611386,0.1175969,nan,nan,nan,0.019360663,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
